baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	gene-AA	gene-GG
102197.992935284	0.439827438519254	0.123607481468641	3.55825904139013	3.733210464207e-4	0.00324201628630481	ORTHO_000001	CAmt|cox2	CGmt|cox2
39695.1214610826	1.44013223759811	0.152472001357179	9.44522420365218	3.5464426210819205e-21	3.79331443242723e-18	ORTHO_000002	CAmt|nad4	CGmt|nad4
3021.17402880445	-0.171189172441759	0.106609573137486	-1.60575797654673	0.108327097254917	0.222911693008686	ORTHO_000003	LOC128155130	LOC105320588
124.071115342067	-0.330241989456994	0.212924948735365	-1.55097836781653	0.120906868116837	0.240875406855698	ORTHO_000004	LOC128155131	LOC105337559
1491.65254424808	0.91995648150836	0.233506666582636	3.93974396950588	8.15686140566039e-5	0.00102831849186062	ORTHO_000005	LOC128155132	LOC136273184
453.665120572711	0.0721957433847287	0.099804667161185	0.723370413811733	0.469452343072398	0.620340834672126	ORTHO_000006	LOC128155133	LOC105337572
1552.8892793306	0.205830345453734	0.102593493735591	2.00627094330378	0.0448273483764861	0.115878214056456	ORTHO_000007	LOC128155134	LOC136273181
57.2586256879557	-0.39754977916065	0.204609639127504	-1.94296701199357	0.0520201442047635	0.129218026533895	ORTHO_000008	LOC128155136	LOC105343990
258.731707034028	-0.372192643866754	0.139865199186938	-2.66108114120152	0.0077890184189614	0.0319068024723966	ORTHO_000009	LOC128155137	LOC105337420
1538.68204572084	-0.25815750272171	0.0836088096007804	-3.08768303190027	0.00201723505198886	0.0115314211567522	ORTHO_000010	LOC128155139	LOC105318607
1414.88133308594	0.0814432367560972	0.0957243813787213	0.85080974755927	0.394875046024286	0.552132850861214	ORTHO_000011	LOC128155140	LOC105325291
1310.85313019203	0.275402576779358	0.154543070170637	1.78204416720384	0.074742029510089	0.169229082710068	ORTHO_000012	LOC128155141	LOC117681347
11.179690887965	-0.812076913648612	0.668610648726645	-1.21457370622977	0.224528722378769	0.375019648820893	ORTHO_000013	LOC128155142	LOC117681234
58.8126304307884	-1.87760013368768	0.79732482875966	-2.35487478372965	0.018528948229461	0.0608663777959071	ORTHO_000014	LOC128155144	LOC136273072
169.681896311518	0.64974456465704	0.162202267597023	4.00576745493642	6.1816443005575e-5	8.2477614496627e-4	ORTHO_000015	LOC128155145	LOC105324119
1060.29634083688	0.0828598007598899	0.0694327248935585	1.19338252800701	0.232719594505835	0.38515096441743	ORTHO_000016	LOC128155146	LOC105320959
89.3419755885378	-0.159284764813012	0.278440750005674	-0.572059818147186	0.567281450076543	0.703525906894892	ORTHO_000017	LOC128155147	LOC105328034
2550.56794728968	0.240380453636338	0.132690311502955	1.81159009209941	0.0700495569963908	0.161541071023227	ORTHO_000018	LOC128155148	LOC105318228
2157.84644045914	-0.0559072787547281	0.0893759620770422	-0.625529252558265	0.531623755493399	0.673511361749978	ORTHO_000019	LOC128155149	LOC105333050
1211.07808169118	0.642823240701763	0.201761298978106	3.18605819826487	0.00144225581366495	0.00899214740300884	ORTHO_000020	LOC128155150	LOC105332473
485.781792724575	-0.195066441382228	0.0940048526199482	-2.07506778581805	0.0379802528316692	0.102629306353421	ORTHO_000021	LOC128155151	LOC105341660
16.4504882319385	-1.1689180054321	0.423104511518598	-2.76271694961758	0.0057322452557816	0.025359126357896	ORTHO_000022	LOC128155152	LOC109617373
131.207152674674	0.30109839859171	0.153710902580171	1.95886169124969	0.0501289864750718	0.126029430217362	ORTHO_000023	LOC128155153	LOC105332435
21.3751147453676	-0.046094101819193	0.20686311622048	-0.222824168277851	0.823672357286849	0.889060037833924	ORTHO_000024	LOC128155155	LOC105332414
325.733952682075	0.869698771460528	0.170823315402124	5.09121819473662	3.55770332681262e-7	1.29217166024292e-5	ORTHO_000025	LOC128155156	LOC105332422
94.9398203255949	0.184483353125896	0.37448410281588	0.492633336738995	0.622271688455821	0.746733783211164	ORTHO_000026	LOC128155157	LOC105341661
69.2723126820767	2.41339879090333	0.457215652824793	5.27846930872279	1.30267479127305e-7	5.40525813715088e-6	ORTHO_000027	LOC128155154	LOC136272965
674.427223598053	0.514945622069593	0.145830847822815	3.53111587676739	4.1381042019253e-4	0.0034989424769288	ORTHO_000028	LOC128155158	LOC105324234
853.653800501365	0.559256280976965	0.183269145238558	3.05155720701917	0.00227657662242463	0.0126642385760016	ORTHO_000029	LOC128155159	LOC105331328
494.764023349168	1.18092712958394	0.160546577432492	7.35566680068598	1.89976361606716e-13	5.151570267625489e-11	ORTHO_000030	LOC128155160	LOC105331327
29.9778989871327	-0.412674896834412	0.27739139800436	-1.48769896904995	0.136830299613189	0.264277251963046	ORTHO_000031	LOC128155161	LOC105340892
218.601624241654	-0.0644729509357755	0.115671183610463	-0.557381267515134	0.577266961399396	0.711806836891069	ORTHO_000032	LOC128155164	LOC105341203
618.533485038966	0.406105966643012	0.141301664872568	2.87403525647951	0.0040526372044421	0.0195797802000311	ORTHO_000033	LOC128155163	LOC105333049
7647.3298867316	-0.0148221217286029	0.0713403195221384	-0.207766405139289	0.83541136500145	0.897103854669693	ORTHO_000034	LOC128155167	LOC105321000
76.868515443626407	-0.0580421828563444	0.143524038573393	-0.404407397069333	0.68591316160109	0.794283328869234	ORTHO_000035	LOC128155168	LOC105320784
761.147108902457	0.273860647709681	0.158754761681778	1.72505469951592	0.084517615299385	0.185163592098209	ORTHO_000036	LOC128155169	LOC105346015
88.9131541326547	-1.58171509322478	0.493283005639044	-3.20650635668197	0.00134357336464419	0.00851195063820157	ORTHO_000037	LOC128155170	LOC105346017
2438.68744398895	-0.100126340439491	0.16457862313887	-0.608379985990072	0.54293548236083	0.683256215562655	ORTHO_000038	LOC128155172	LOC105346018
1964.33590927217	-1.11145743476383	0.238132867590116	-4.66738357460559	3.05059505436583e-6	7.6951537335112e-5	ORTHO_000039	LOC128155173	LOC105322187
2174.93089152791	0.424959542233946	0.112800756896394	3.76734654913943	1.6499189336784e-4	0.00174729863751984	ORTHO_000040	LOC128155174	LOC105344505
221.968889763563	0.0377447610332049	0.145911800540207	0.258682031840215	0.795880584309026	0.869592468628437	ORTHO_000042	LOC128155176	LOC105317893
830.644808337166	0.0408209904325265	0.177877045210139	0.229489928755572	0.818488147467165	0.885499679882295	ORTHO_000043	LOC128155178	LOC105317894
151.143974370444	-1.26632446829401	0.269528275402546	-4.69829915396716	2.62336991981083e-6	6.78867487447821e-5	ORTHO_000044	LOC128155179	LOC105318330
319.243722899859	0.0448054579573209	0.529393549288546	0.0846354437403612	0.93255122011997	0.959923473105741	ORTHO_000045	LOC128155180	LOC105327182
